[run number],connect-number,resource-abundance,altruist-number,Max.Resource,Shared,hardship,miser-number,[step],sum [Waste] of misers,sum [Harvest] of misers,min [Harvest] of misers,max [Harvest] of misers,count (misers) with [Harvest <= 0]
3,3,2,0,52,0.33,0.1,20,33,5455,994,6,52,0
5,3,2,0,52,0.33,0.1,20,33,5528.5,1040,52,52,0
8,3,2,0,52,0.33,0.1,20,34,5028.5,1023,48,52,0
2,3,2,0,52,0.33,0.1,20,45,5300,1038,50,52,0
6,3,2,0,52,0.33,0.1,20,33,5718.5,1037.5,51,52,0
1,3,2,0,52,0.33,0.1,20,32,5272,1038,50,52,0
7,3,2,0,52,0.33,0.1,20,33,4779,1036,50,52,0
6,3,2,0,52,0.33,0.1,20,34,5733.5,1018.5,50,52,0
4,3,2,0,52,0.33,0.1,20,36,6069,1039,51,52,0
8,3,2,0,52,0.33,0.1,20,35,5114,1030,47.5,52,0
2,3,2,0,52,0.33,0.1,20,46,5496,1038,50,52,0
3,3,2,0,52,0.33,0.1,20,34,5686,994,6,52,0
5,3,2,0,52,0.33,0.1,20,34,5755,1040,52,52,0
6,3,2,0,52,0.33,0.1,20,35,5794.5,1008.5,48,52,0
1,3,2,0,52,0.33,0.1,20,33,5495,1040,52,52,0
7,3,2,0,52,0.33,0.1,20,34,5008,1036,48,52,0
4,3,2,0,52,0.33,0.1,20,37,6329,1040,52,52,0
2,3,2,0,52,0.33,0.1,20,47,5698,1040,52,52,0
8,3,2,0,52,0.33,0.1,20,36,5268.5,1033,48,52,0
5,3,2,0,52,0.33,0.1,20,35,5951.5,1036,50,52,0
3,3,2,0,52,0.33,0.1,20,35,5892,994,6,52,0
8,3,2,0,52,0.33,0.1,20,37,5268.5,1017.5,47,52,0
8,3,2,0,52,0.33,0.1,20,38,5268.5,1002,46,52,0
6,3,2,0,52,0.33,0.1,20,36,5967,1025,46,52,0
7,3,2,0,52,0.33,0.1,20,35,5174,1031,50,52,0
1,3,2,0,52,0.33,0.1,20,34,5714,1039,51,52,0
2,3,2,0,52,0.33,0.1,20,48,5915.5,1039.5,51.5,52,0
5,3,2,0,52,0.33,0.1,20,36,6116.5,1033.5,50,52,0
4,3,2,0,52,0.33,0.1,20,38,6548,1037,50.5,52,0
8,3,2,0,52,0.33,0.1,20,39,5268.5,986.5,44,52,0
3,3,2,0,52,0.33,0.1,20,36,6150,994,6,52,0
6,3,2,0,52,0.33,0.1,20,37,6164,1025,45,52,0
7,3,2,0,52,0.33,0.1,20,36,5268,1020,48,52,0
2,3,2,0,52,0.33,0.1,20,49,6076,1040,52,52,0
8,3,2,0,52,0.33,0.1,20,40,5295,977.5,42,52,0
1,3,2,0,52,0.33,0.1,20,35,5918,1038,50,52,0
4,3,2,0,52,0.33,0.1,20,39,6761,1039,51,52,0
5,3,2,0,52,0.33,0.1,20,37,6317,1035.5,48,52,0
3,3,2,0,52,0.33,0.1,20,37,6369,994,6,52,0
6,3,2,0,52,0.33,0.1,20,38,6254.5,1029.5,47,52,0
